technology,keyword,category,subcategory,website
Sqoop,sqoop,Database,ETL Tool,
Sumlogic,sumologic,DevOps,Monitoring/Alerting/Logging,
Swift,swift,Language,,
Sybase,sybase,Database,OLTP,
Tableau,tableau,Big Data,Visualization,
Talend,talend,Database,ETL Tool,
Tensorflow,tensorflow,Deep Learning Framework,,
Terraform,terraform,DevOps,Infrastructure Automation,
Theano,theano,Deep Learning Framework,,
Torch,torch,Deep Learning Framework,,
TypeScript,typescript,Web Development,JavaScript Transpiler,
Ubuntu,ubuntu,OS,Linux,
Uiatomator,uiatomator,Testing Framework,,
Unity,unity,Game Development,,
Vertica,vertica,Database,OLAP,
Vue,vue,Web Development,JavaScript Framework,
WebRTC,webrtc,Realtime Communication,,
Weblogic,weblogic,Web Server,J2EE,
Webpack,webpack,Web Development or DevOps?,JavaScript Building Tool,
Websockets,websockets,Web Development,,
Wherespace,wherespace,Database,ETL Tool,
XMPP,xmpp,Realtime Communication,,
Xamarin,xamarin,Mobile Development,Framework,
Xcode,xcode,IDE,,
Xcui,xcui,Testing Framework,,
Xen,xen,Virtualization,,
Zipkin,zipkin,Web Development,Tracing Service,
