Technology,Keywords,Category,Subcategory
Spring,spring,Java Framework,
Sqoop,sqoop,Database,ETL Tool
Simple Queue Service,sqs,Messaging,
Storm,storm,Data,Realtime processing
Sumo Logic,sumo logic,DevOps,Monitoring/Alerting/Logging
Suro,suro,DevOps,Monitoring/Alerting/Logging
Swift,swift,Language,
Sybase,sybase,Database,OLTP
Tableau,tableau,Data,Visualization
Talend,talend,Database,ETL Tool
TensorFlow,tensorflow,Machine Learning,
Terraform,terraform,DevOps,Infrastructure Automation
Theano,theano,Machine Learning,
Tomcat,tomcat,Web Server,
Torch,torch,Machine Learning,
TypeScript,typescript,Web Development,JavaScript Transpiler
UI Automator,uiautomator,Testing Framework,
Ubuntu,ubuntu,OS,Linux
Unity,unity,Game Development,
Vagrant,vagrant,Virtualization,
Vertica,vertica,Database,OLAP
Vue,vue|vue.js,Web Development,JavaScript Framework
WebLogic,weblogic,Web Server,J2EE
WebRTC,webrtc,Realtime Communication,
WebSocket,websockets,Web Development,
Webpack,webpack,DevOps,JavaScript Building Tool
WhereScape,wherescape,Database,ETL Tool
XCUI,xcui,Testing Framework,
XMPP,xmpp,Realtime Communication,
Xamarin,xamarin,Mobile Development,Framework
Xcode,xcode,IDE,
Xen,xen,Virtualization,
Zipkin,zipkin,Web Development,Tracing Service
gulp,gulp,Web Development,JavaScript Building Tool
jQuery,jquery,Web Development,Query
runC,runc,Containerization,Management Tool
sbt,sbt,DevOps,Build Automation
